Cell_ID,Disease_ID,Expression_Count
CL0000158,PATO0000461,19005
CL0002062,PATO0000461,22586
CL1000271,PATO0000461,20978
CL0000576,PATO0000461,24254
CL0002553,PATO0000461,22152
CL0002063,PATO0000461,24135
CL0000115,PATO0000461,40288
CL0002138,PATO0000461,17238
CL0000084,PATO0000461,22965
CL0000128,PATO0000461,42559
CL0002453,PATO0000461,27034
CL0000127,PATO0000461,30594
CL0000540,PATO0000461,82683
CL0000878,PATO0000461,17244
CL0000065,PATO0000461,8590
CL0000706,PATO0000461,5306
CL0000669,PATO0000461,11073
CL0000644,PATO0000461,5202
CL0000057,PATO0000461,19572
CL0000003,PATO0000461,5084
CL0000573,PATO0000461,3891
CL0000134,PATO0000461,11024
CL1000299,MONDO0010811,781
CL1000487,MONDO0010811,1314
CL1000299,PATO0000461,781
CL1000487,PATO0000461,1314
CL1000849,PATO0000461,3583
CL1001106,PATO0000461,4810
CL1001431,PATO0000461,2854
CL1000838,PATO0000461,2466
CL0000738,PATO0000461,2624
CL0000788,MONDO0015517,589
CL0000972,MONDO0015517,1198
CL0000970,MONDO0015517,819
CL0000788,PATO0000461,3490
CL0000972,PATO0000461,1402
CL0000970,PATO0000461,819
CL0002306,MONDO0005148,1758
CL0000057,MONDO0005148,1436
CL0000653,MONDO0005148,1165
CL0002201,MONDO0005148,1498
CL1000839,MONDO0005148,1761
CL1001106,MONDO0005148,1795
CL0000115,MONDO0005148,1569
CL0000842,MONDO0005148,1349
CL1000849,MONDO0005148,1814
CL0005011,MONDO0005148,1709
CL1000838,MONDO0005148,1839
CL0000084,MONDO0005148,1177
CL1000452,MONDO0005148,1357
CL0005009,MONDO0005148,1621
CL1001107,MONDO0005148,1630
CL0002306,PATO0000461,4561
CL0000653,PATO0000461,1459
CL0002201,PATO0000461,1498
CL1000839,PATO0000461,1761
CL0000842,PATO0000461,1349
CL0005011,PATO0000461,1709
CL1000452,PATO0000461,1713
CL0005009,PATO0000461,1621
CL1001107,PATO0000461,3805
CL0000076,MONDO0021113,1989
CL0000076,MONDO0100096,1989
CL0000076,MONDO0100233,1989
CL0000076,PATO0000461,1989
CL0000082,PATO0000461,2366
CL1001432,PATO0000461,1848
CL0000623,MONDO0100096,1471
CL0000623,PATO0000461,3480
CL0000236,MONDO0005148,1087
CL0000236,PATO0000461,4434
CL0000066,MONDO0100096,2036
CL0000077,PATO0000461,3007
CL0000216,PATO0000461,1659
CL2000064,PATO0000461,1141
CL0000630,PATO0000461,1692
CL0008019,PATO0000461,1830
CL0000501,PATO0000461,2143
CL0002094,PATO0000461,1490
CL0002371,PATO0000461,809
CL0000064,PATO0000461,5883
CL0000775,PATO0000461,3459
CL0000312,PATO0000461,695
CL0000188,PATO0000461,40
CL0000359,PATO0000461,3807
CL1000449,PATO0000461,1469
CL0000066,MONDO0008433,2114
CL0000064,MONDO0021113,2628
CL0000064,MONDO0100096,2628
CL0000064,MONDO0100233,2628
CL0000129,MONDO0005180,2958
CL0000700,MONDO0005180,4692
CL0000129,MONDO0007488,2958
CL0000700,MONDO0007488,4692
CL0000129,PATO0000461,2958
CL0000700,PATO0000461,4692
CL0000235,PATO0000461,10818
CL0002144,PATO0000461,5932
CL0002543,PATO0000461,1583
CL1000413,PATO0000461,1834
CL0000192,PATO0000461,2890
CL0001054,PATO0000461,2816
CL0000189,PATO0000461,568
CL0008011,PATO0000461,7139
CL0000190,PATO0000461,964
CL1000304,MONDO0010811,1405
CL1000304,PATO0000461,1405
CL0000165,PATO0000461,1601
CL0000576,MONDO0100096,1157
CL0000625,MONDO0100096,801
CL0000624,MONDO0100096,517
CL0000451,MONDO0100096,246
CL0000625,PATO0000461,6003
CL0000624,PATO0000461,3519
CL0000451,PATO0000461,902
CL0000896,MONDO0015759,117
CL0000899,MONDO0015759,435
CL0000003,MONDO0015759,47
CL0000815,MONDO0015759,221
CL0001050,MONDO0015759,255
CL0000900,MONDO0015759,245
CL0000625,MONDO0015759,612
CL0001204,MONDO0015759,421
CL0000624,MONDO0015759,494
CL0000913,MONDO0015759,336
CL0011025,MONDO0015759,365
CL0000763,MONDO0015759,91
CL0000646,PATO0000461,7227
CL0017000,PATO0000461,7
