Cell_ID,Experiment_ID,Expression_Count
CL0000158,1,18773
CL0002062,1,22450
CL1000271,1,20843
CL0000576,1,22853
CL0002553,1,20660
CL0002063,1,23915
CL0000115,1,22296
CL0002138,1,15441
CL0000084,1,18576
CL0000128,2,2772
CL0002453,2,1376
CL0000127,2,1895
CL0000540,2,14320
CL0000878,10,1625
CL0000128,10,4109
CL0002453,10,4349
CL0000127,10,4891
CL0000540,10,11960
CL0000065,10,2273
CL0000128,13,4141
CL0000128,17,4029
CL0002453,17,2323
CL0000127,17,2468
CL0000540,17,10164
CL0000878,20,2463
CL0000128,20,6172
CL0002453,20,2852
CL0000127,20,3776
CL0000540,20,9172
CL0000706,36,5306
CL0000128,36,13880
CL0002453,36,11211
CL0000669,36,2401
CL0000878,36,8568
CL0000644,36,5022
CL0000127,36,12369
CL0000057,36,4631
CL0000115,36,3037
CL0000065,36,5188
CL0000128,41,4030
CL0000127,41,1725
CL0000540,41,10317
CL0000878,63,719
CL0002453,63,746
CL0000057,63,705
CL0000065,63,581
CL0000128,84,1660
CL0000127,84,1528
CL0000540,84,10289
CL0000003,90,1500
CL0000573,90,3891
CL0000134,92,11024
CL0000115,2,759
CL1000299,3,781
CL1000487,3,759
CL1000299,4,781
CL1000487,4,759
CL1000849,2,226
CL1001106,2,234
CL1001431,2,199
CL1000838,2,574
CL0000738,2,198
CL0000788,5,589
CL0000972,5,1198
CL0000970,5,819
CL0000788,6,589
CL0000972,6,1198
CL0000970,6,819
CL0000540,12,4588
CL0002306,7,1758
CL0000057,7,1436
CL0000653,7,1165
CL0002201,7,1498
CL1000839,7,1761
CL1001106,7,1795
CL0000115,7,1569
CL0000842,7,1349
CL1000849,7,1814
CL0005011,7,1709
CL1000838,7,1839
CL0000084,7,1177
CL1000452,7,1357
CL0005009,7,1621
CL1001107,7,1630
CL0002306,8,1758
CL0000057,8,1436
CL0000653,8,1165
CL0002201,8,1498
CL1000839,8,1761
CL1001106,8,1795
CL0000115,8,1569
CL0000842,8,1349
CL1000849,8,1814
CL0005011,8,1709
CL1000838,8,1839
CL0000084,8,1177
CL1000452,8,1357
CL0005009,8,1621
CL1001107,8,1630
CL0000540,82,1604
CL0000076,70,1989
CL0000076,71,1989
CL0000076,72,1989
CL0000076,73,1989
CL0000082,116,2366
CL1001432,2,82
CL0000623,93,1112
CL0000623,94,1112
CL0000236,7,1087
CL0000236,8,1087
CL0000066,74,1284
CL1000271,58,135
CL0000077,21,1561
CL0000216,21,1659
CL2000064,21,1141
CL0000630,21,1692
CL0008019,21,1608
CL0000501,21,2143
CL0002094,21,1490
CL0002371,21,809
CL0000878,41,1181
CL0002453,41,2045
CL0000064,53,3255
CL0000775,55,2599
CL0000057,69,3167
CL0000312,69,695
CL0000188,69,40
CL0000359,69,1767
CL1000449,69,1469
CL0000066,67,2114
CL0000064,70,2628
CL0000064,71,2628
CL0000064,72,2628
CL0000064,73,2628
CL0000129,75,2958
CL0000700,101,4692
CL0000129,76,2958
CL0000700,102,4692
CL0000129,77,2958
CL0000700,103,4692
CL0000057,83,2190
CL0000669,89,2149
CL0000235,89,981
CL0002144,89,1582
CL0000003,89,2390
CL0000115,89,1028
CL0002543,89,810
CL1000413,89,1037
CL0000192,89,1159
CL0001054,89,199
CL0000669,92,4340
CL0000189,92,568
CL0008011,92,7139
CL0000190,92,964
CL0000235,92,4546
CL1000304,99,1405
CL1000304,100,1405
CL0000165,116,1601
CL0000576,4,1006
CL0000625,4,562
CL0000624,4,489
CL0000451,4,227
CL0000576,5,1006
CL0000625,5,562
CL0000624,5,489
CL0000451,5,227
CL0000896,119,117
CL0000899,119,435
CL0000003,119,47
CL0000815,119,221
CL0001050,119,255
CL0000900,119,245
CL0000625,119,612
CL0001204,119,421
CL0000624,119,494
