Cell_ID,Tissue_ID,Expression_Count
CL0000158,UBERON0002048,18773
CL0002062,UBERON0002048,22450
CL1000271,UBERON0002048,20843
CL0000576,UBERON0002048,22853
CL0002553,UBERON0002048,22127
CL0002063,UBERON0002048,23915
CL0000115,UBERON0002048,22296
CL0002138,UBERON0002048,15441
CL0000084,UBERON0002048,18576
CL0000128,UBERON0000956,3101
CL0002453,UBERON0000956,2100
CL0000127,UBERON0000956,2869
CL0000540,UBERON0000956,19558
CL0000878,UBERON0002421,1667
CL0000128,UBERON0002421,4309
CL0002453,UBERON0002421,4354
CL0000127,UBERON0002421,4956
CL0000540,UBERON0002421,14248
CL0000065,UBERON0002421,2363
CL0000128,UBERON0005290,4141
CL0000128,UBERON0000988,4029
CL0002453,UBERON0000988,2323
CL0000127,UBERON0000988,2468
CL0000540,UBERON0000988,10164
CL0000878,UBERON0002037,2463
CL0000128,UBERON0002037,6172
CL0002453,UBERON0002037,2852
CL0000127,UBERON0002037,3776
CL0000540,UBERON0002037,9172
CL0000706,UBERON0001898,5306
CL0000128,UBERON0001898,13880
CL0002453,UBERON0001898,11211
CL0000669,UBERON0001898,2401
CL0000878,UBERON0001898,8568
CL0000644,UBERON0001898,5022
CL0000127,UBERON0001898,12369
CL0000057,UBERON0001898,4631
CL0000115,UBERON0001898,3037
CL0000065,UBERON0001898,5188
CL0000128,UBERON0010225,5267
CL0000127,UBERON0010225,2628
CL0000540,UBERON0010225,15148
CL0000878,UBERON0010225,1900
CL0002453,UBERON0010225,2791
CL0000057,UBERON0010225,1358
CL0000065,UBERON0010225,622
CL0000128,UBERON0001891,1660
CL0000127,UBERON0001891,1528
CL0000540,UBERON0001891,10289
CL0000003,UBERON0000966,1500
CL0000573,UBERON0000966,3891
CL0000134,UBERON0008612,11024
CL0000115,UBERON0001225,3912
CL1000299,UBERON8410025,781
CL1000487,UBERON8410025,1314
CL1000299,UBERON8410026,781
CL1000487,UBERON8410026,1314
CL1000849,UBERON0001225,3855
CL1001106,UBERON0001225,3825
CL1001431,UBERON0001225,199
CL1000838,UBERON0001225,4305
CL0000738,UBERON0001225,204
CL0000788,UBERON0000178,2174
CL0000972,UBERON0000178,2804
CL0000970,UBERON0000178,1638
CL0002306,UBERON0001225,3516
CL0000057,UBERON0001225,2872
CL0000653,UBERON0001225,2403
CL0002201,UBERON0001225,2996
CL1000839,UBERON0001225,3522
CL0000842,UBERON0001225,2698
CL0005011,UBERON0001225,3418
CL0000084,UBERON0001225,2354
CL1000452,UBERON0001225,2714
CL0005009,UBERON0001225,3242
CL1001107,UBERON0001225,3260
CL0000076,UBERON0001728,7956
CL0000082,UBERON0002048 (organoid),2366
CL1001432,UBERON0001225,83
CL0000623,UBERON0000178,2942
CL0000236,UBERON0001225,2174
CL0000066,UBERON0001005,2036
CL1000271,UBERON0001005,135
CL0000077,UBERON0000991,1561
CL0000216,UBERON0000991,1659
CL2000064,UBERON0000991,1141
CL0000630,UBERON0000991,1692
CL0008019,UBERON0000991,1608
CL0000501,UBERON0000991,2143
CL0002094,UBERON0000991,1490
CL0002371,UBERON0000991,809
CL0000064,UBERON0003126,3255
CL0000775,UBERON0002106,2599
CL0000057,UBERON0002097,3167
CL0000312,UBERON0002097,695
CL0000188,UBERON0002097,40
CL0000359,UBERON0002097,1767
CL1000449,UBERON0002097,1469
CL0000066,UBERON0000175,2114
CL0000064,UBERON0001728,10512
CL0000129,UBERON0001965,8874
CL0000700,UBERON0001965,14076
CL0000057,UBERON0002098,2199
CL0000669,UBERON0002098,2149
CL0000235,UBERON0002098,981
CL0002144,UBERON0002098,1582
CL0000003,UBERON0002098,2390
CL0000115,UBERON0002098,1028
CL0002543,UBERON0002098,810
CL1000413,UBERON0002098,1037
CL0000192,UBERON0002098,1159
CL0001054,UBERON0002098,199
CL0000669,UBERON0008612,4340
CL0000189,UBERON0008612,568
CL0008011,UBERON0008612,7139
CL0000190,UBERON0008612,964
CL0000235,UBERON0008612,4546
CL1000304,UBERON8410025,1405
CL1000304,UBERON8410026,1405
CL0000165,UBERON0002048 (organoid),1601
CL0000576,UBERON0000178,2314
CL0000625,UBERON0000178,1736
CL0000624,UBERON0000178,1528
CL0000451,UBERON0000178,457
CL0000896,UBERON0000178,117
CL0000899,UBERON0000178,435
CL0000003,UBERON0000178,47
CL0000815,UBERON0000178,221
CL0001050,UBERON0000178,563
CL0000900,UBERON0000178,245
CL0001204,UBERON0000178,421
CL0000913,UBERON0000178,336
CL0011025,UBERON0000178,365
